ID,duration,wav,start,stop,spk_id
CLD_002_PT_AH41_14,3.1085,/scratch/yadel/datasets/3M0X/pt/wav/CLD_002_PT_AH41_14.wav,0,49736,CLD_002_PT
CLD_002_PT_NH17_4,16.158125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_002_PT_NH17_4.wav,0,258530,CLD_002_PT
CLD_002_PT_NH24_5,14.4863125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_002_PT_NH24_5.wav,0,231781,CLD_002_PT
CLD_002_PT_NH6_3,17.319125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_002_PT_NH6_3.wav,0,277106,CLD_002_PT
CLD_002_PT_NL1_1,18.0621875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_002_PT_NL1_1.wav,0,288995,CLD_002_PT
CLD_002_PT_NL21_2,16.343875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_002_PT_NL21_2.wav,0,261502,CLD_002_PT
CLD_003_PT_AH41_14,3.4335625,/scratch/yadel/datasets/3M0X/pt/wav/CLD_003_PT_AH41_14.wav,0,54937,CLD_003_PT
CLD_003_PT_NH17_4,13.9754375,/scratch/yadel/datasets/3M0X/pt/wav/CLD_003_PT_NH17_4.wav,0,223607,CLD_003_PT
CLD_003_PT_NH24_5,13.278875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_003_PT_NH24_5.wav,0,212462,CLD_003_PT
CLD_003_PT_NH6_3,16.343875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_003_PT_NH6_3.wav,0,261502,CLD_003_PT
CLD_003_PT_NL1_1,17.0869375,/scratch/yadel/datasets/3M0X/pt/wav/CLD_003_PT_NL1_1.wav,0,273391,CLD_003_PT
CLD_003_PT_NL21_2,18.689125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_003_PT_NL21_2.wav,0,299026,CLD_003_PT
CLD_004_PT_AH41_14,3.2478125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_004_PT_AH41_14.wav,0,51965,CLD_004_PT
CLD_004_PT_NH17_4,15.786625,/scratch/yadel/datasets/3M0X/pt/wav/CLD_004_PT_NH17_4.wav,0,252586,CLD_004_PT
CLD_004_PT_NH24_5,15.786625,/scratch/yadel/datasets/3M0X/pt/wav/CLD_004_PT_NH24_5.wav,0,252586,CLD_004_PT
CLD_004_PT_NH6_3,18.6426875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_004_PT_NH6_3.wav,0,298283,CLD_004_PT
CLD_004_PT_NL1_1,16.9011875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_004_PT_NL1_1.wav,0,270419,CLD_004_PT
CLD_005_PT_AH41_14,3.387125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_005_PT_AH41_14.wav,0,54194,CLD_005_PT
CLD_005_PT_NH17_4,19.17675,/scratch/yadel/datasets/3M0X/pt/wav/CLD_005_PT_NH17_4.wav,0,306828,CLD_005_PT
CLD_005_PT_NH24_5,15.4615,/scratch/yadel/datasets/3M0X/pt/wav/CLD_005_PT_NH24_5.wav,0,247384,CLD_005_PT
CLD_005_PT_NH6_3,21.173625,/scratch/yadel/datasets/3M0X/pt/wav/CLD_005_PT_NH6_3.wav,0,338778,CLD_005_PT
CLD_005_PT_NL1_1,13.6039375,/scratch/yadel/datasets/3M0X/pt/wav/CLD_005_PT_NL1_1.wav,0,217663,CLD_005_PT
CLD_005_PT_NL21_2,18.0621875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_005_PT_NL21_2.wav,0,288995,CLD_005_PT
CLD_006_PT_AH41_14,2.737,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_AH41_14.wav,0,43792,CLD_006_PT
CLD_006_PT_NH17_4,14.207625,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_NH17_4.wav,0,227322,CLD_006_PT
CLD_006_PT_NH24_5,13.37175,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_NH24_5.wav,0,213948,CLD_006_PT
CLD_006_PT_NH48_6,15.4150625,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_NH48_6.wav,0,246641,CLD_006_PT
CLD_006_PT_NH6_3,16.06525,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_NH6_3.wav,0,257044,CLD_006_PT
CLD_006_PT_NL1_1,14.7649375,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_NL1_1.wav,0,236239,CLD_006_PT
CLD_006_PT_NL21_2,16.1349375,/scratch/yadel/datasets/3M0X/pt/wav/CLD_006_PT_NL21_2.wav,0,258159,CLD_006_PT
CLD_007_PT_AH41_14,3.48,/scratch/yadel/datasets/3M0X/pt/wav/CLD_007_PT_AH41_14.wav,0,55680,CLD_007_PT
CLD_007_PT_NH17_4,15.5079375,/scratch/yadel/datasets/3M0X/pt/wav/CLD_007_PT_NH17_4.wav,0,248127,CLD_007_PT
CLD_007_PT_NH24_5,14.53275,/scratch/yadel/datasets/3M0X/pt/wav/CLD_007_PT_NH24_5.wav,0,232524,CLD_007_PT
CLD_007_PT_NH6_3,17.412,/scratch/yadel/datasets/3M0X/pt/wav/CLD_007_PT_NH6_3.wav,0,278592,CLD_007_PT
CLD_007_PT_NL1_1,16.3903125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_007_PT_NL1_1.wav,0,262245,CLD_007_PT
CLD_007_PT_NL21_2,17.0405,/scratch/yadel/datasets/3M0X/pt/wav/CLD_007_PT_NL21_2.wav,0,272648,CLD_007_PT
CLD_011_PT_AH41_14,3.2478125,/scratch/yadel/datasets/3M0X/pt/wav/CLD_011_PT_AH41_14.wav,0,51965,CLD_011_PT
CLD_011_PT_NH17_4,14.021875,/scratch/yadel/datasets/3M0X/pt/wav/CLD_011_PT_NH17_4.wav,0,224350,CLD_011_PT
